Mode=early_first_window | dataset=baseline_dataset.npz | training_dir=koopman_training | history_days=5 | attack_rate_as_percent=True
-------------------------------------------------------------------------------------------------------------------------------------
run=0110 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0111 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0112 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0113 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0114 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0115 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0116 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0117 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0118 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0119 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0120 seed=60 | attack_rate real=1.60 vs pred=-0.01 | peak_day real=19.00 vs pred=26.00
run=0121 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0122 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0123 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0124 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0125 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0126 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0127 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0128 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0129 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0130 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0131 seed=61 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0132 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0133 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0134 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0135 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0136 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0137 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0138 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0139 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0140 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0141 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0142 seed=62 | attack_rate real=1.40 vs pred=-0.69 | peak_day real=18.00 vs pred=18.00
run=0143 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
